Species	countryCode	lon	lat
Iguanaiguana	CO	-73.098208	7.097747
Iguanaiguana	CO	-75.446925	10.555082
Iguanaiguana	CO	-77.262066	3.833830
Iguanaiguana	CO	-75.689856	4.792251
Iguanaiguana	CO	-73.840283	7.228687
Iguanaiguana	CO	-75.837047	6.558448
Iguanaiguana	CO	-75.592832	6.274385
Iguanaiguana	CO	-75.454198	10.609066
Iguanaiguana	CO	-74.850312	5.860058
Iguanaiguana	CO	-74.850350	5.859737
Iguanaiguana	CO	-73.129132	7.109203
Iguanaiguana	CO	-76.519165	3.522067
Iguanaiguana	CO	-73.580704	4.080001
Iguanaiguana	CO	-75.294006	2.925462
Iguanaiguana	CO	-75.056105	9.161629
Iguanaiguana	CO	-75.531735	10.414167
Iguanaiguana	CO	-73.468108	3.897609
Iguanaiguana	CO	-75.601092	6.264093
Iguanaiguana	CO	-74.117106	11.142875
Iguanaiguana	CO	-69.935907	4.203165
Iguanaiguana	CO	-69.935907	4.203165
Iguanaiguana	CO	-75.743581	10.172889
Iguanaiguana	CO	-75.495598	10.539373
Iguanaiguana	CO	-74.007125	11.283620
Iguanaiguana	CO	-74.664250	6.052710
Iguanaiguana	CO	-74.780924	10.856655
Iguanaiguana	CO	-76.794623	8.452032
Iguanaiguana	CO	-75.762542	6.502086
Iguanaiguana	CO	-76.795925	8.448794
Iguanaiguana	CO	-76.532703	3.349097
Iguanaiguana	CO	-76.519113	3.522606
Iguanaiguana	CO	-73.125892	6.539382
Iguanaiguana	CO	-74.023921	11.280902
Iguanaiguana	CO	-74.734535	5.209276
Iguanaiguana	CO	-75.564137	6.270893
Iguanaiguana	CO	-73.580806	4.079715
Iguanaiguana	CO	-75.029004	9.187239
Iguanaiguana	CO	-74.608305	8.420902
Iguanaiguana	CO	-75.048187	9.165463
Iguanaiguana	CO	-75.628692	6.167233
Iguanaiguana	CO	-75.608490	10.208714
